Unit	Page	Verses	Attributions	Biblical	Comment
160Ph	15v	Rom.3.5	Φωτ(ιου)  		εἰ δὴ ἡ ἀδικία ἡμῶν θεοῦ διακοσυνη Ἀπορίαν διὰ τούτων μεγάλην ἀνακινεῖ καὶ ἐπιλύεται λίαν σοφῶς καὶ ἐμφρονως εἰ μὴ ἥμαρτον φησὶν ἐροῦσί τινες οὐκ ἂν ὁ θεὸς ἐφάνη ἀληθὴς οὐκ ἂν δίκαιος οὐκ ἂν ἐνίκησεν πρὸς οὓς λέγει εἰ σὺ τῆς νίκης αὐτῷ καὶ τῆς ἀληθείας καὶ τῆς δικαιοσύνης αἴτιος πῶς σε κολάζει ἁμαρτάνοντα πῶς σε τιμωρεῖται μὴ ἄδικον αὐτὸν ἐρεῖς καὶ ποίας δικαιοσύνης αὐτοῦ σαυτὸν ἔλεγες αἴτιον τοῦτο γὰρ οἶμαι δηλοῦν αὐτὸν διὰ τοῦ εἰπεῖν ἐπεὶ πῶς κρινεῖ ὁ θεὸς τὸν κόσμον ἀντὶ τοῦ πῶς αὐτὸν δίκαιον ἔλεγες καὶ κριτὴν δι' ὧν γὰρ σαυτὸν αἴτιον ἔλεγες τῆς δικαιοσύνης αὐτοῦ κριτὴν ἀνωμολογεις αὐτὸν καὶ δίκαιον δικαιοσύνη γὰρ τέλος κρίσεως εἰ οὖν ἐπάγει ὀργὴν τοῖς ἁμαρτάνουσιν πῶς αἴτιοι τῆς δικαιοσύνης αὐτοῦ ἀλλ' ἄδικον ἐρεῖς φησὶν ἀλλ' οὐκ ἔχεις εἰπεῖν δίκαιον γὰρ δι' ὧν ἠπορεις ἀνωμολογησας ὥστε οὒκ εἰσιν οἱ ἁμαρτάνοντες οὔτε τῆς νίκης οὔτε τῆς ἀληθείας οὔτε τῆς δικαιοσύνης αἴτιοι εἶτα προάγει καὶ ἑτέρως τὸ ἐπιχείρημα εἰ διὰ τοῦ ἐμοῦ ψεύδους δοξάζεται ὁ θεὸς ἀληθὴς οὐ κατακρίσεως ἀλλὰ τιμῆς ἀπολαύειν μᾶλλον ὤφειλον καὶ πλέον ψεύδεσθαι καὶ ἁμαρτάνειν ἔδει με ἵνα πλέον ἐδοξάζετο ὁ θεὸς καὶ πλέον ἀπέλαυον ἐγὼ τῶν ἀγαθῶν ἀλλὰ μὴν οὐδεὶς ἂν τοῦτο τολμήσειε λέγειν δῆλον γὰρ τὸ ἄτοπον διὸ καὶ εἴ τινες λέγουσι περὶ ἡμῶν ὅτι φρονοῦμεν ὡς ἐν τῇ πράξει τῶν κακῶν ἔρχεται ἡμῖν τὰ ἀγαθὰ ἀπαραίτητον κρίμα ἕξουσιν ὅτι εἰς τηλικαύτην συκοφαντίαν ἡμᾶς διασύρουσιν καὶ ὅρα σοφίαν αὐξῆσαι γὰρ θέλων τὸ ἄτοπον οὐδὲ τοὺς ἀποροῦντας ταῦτα τοῦτο λέγοντας εἰσάγει ἀλλ' ἑτέρους τινὰς καὶ βλασφημίαν αὐτὸ καλεῖ καθὼς γὰρ φησὶ βλασφημούμεθα εἰ οὖν οἱ λέγοντες τοῦτο καθ' ἡμῶν ἀπαραίτητον ἕξουσι τὴν δίκην πολλῷ μᾶλλον οὐκ ἂν τολμήσαιμεν ἡμεῖς οὐδ' εἰς νοῦν παραδέξασθαι ὅτι ἐν τῇ πράξει τῶν κακῶν παραγίνεται τὰ ἀγαθὰ εἰ δὲ μὴ τοῦτο οὐδ' ὅτι ἐπίπλεον ἁμαρτάνειν δεῖ ἵνα πλεῖον δοξασθῇ ὁ θεὸς εἰ δὲ μηδὲ τοῦτο δῆλον ὡς οὐδὲ τὸ λέγειν ὅτι διὰ τοῦ ἐμοῦ ψεύσματος δοξάζεται ὁ θεὸς ἀληθὴς οὐδεὶς ἄρα αἴτιος θεῷ οὔτε τῆς ἀληθείας αὐτοῦ οὔτε τῆς δικαιοσύνης οὔτε τῆς νίκης αὐτοῦ 
161	16r	Rom.3.5	ξα  	δικαιοσύνην συνίστησι τι ἐροῦμεν μὴ ἄδικος ὁ θεὸς ὁ ἐπιφέρων τὴν ὀργήν 	εἰ δέ φησι ἐκ τῆς ἡμῶν ἀδικίας μᾶλλον δείκνυται ἡ ἀλήθεια καὶ ἡ δικαιοσύνη τοῦ θεοῦ ὅτι δὴ οὔτε ἡ ἡμῶν ἀδικία ἐκώλυσεν αὐτον τὰ δικαία ποησαι τουτέστιν εἰς τέλος ἀγαγεῖν τὰ ὑποσχεθέντα τῶ Ἀβραὰμ καὶ οὐκ ἂν ἄλλως ὤφθη ὁ θεὸς δίκαιος καὶ ἀληθὴς εἰ μὴ ἡμεῖς γεγόναμεν ἄδικοι εἰ τοῦτὸ ἐστιν ἄρα ἀδίκως κολάζει τοὺς αἰτίους αὐτω ἀληθείας γενομένους εἰ δὲ μὴ ἀδίκως κολάζει ἄρα οὐχ ἡμεῖς αὐτῶι τῆς ἀληθείας αἴτιοι 
162	16r	Rom.3.5	ξβ  	κατὰ ἄνθρωπον λέγω 	ἐπειδὴ γὰρ ανρωπινοις λογισμοῖς ἐχρήσατο οὐκ ὄντα ἄδικον δεικνὺς τὸν θεὸν ἐπάγει κατὰ ἄνθρωπον λέγω φησι τοὺς λογισμοὺς τούτους ἐπεὶ καὶ ἄλλοι φησιν εἰσι λογισμοὶ θειότεροι ὡς εἰ εἶπεν κατὰ ἀνθρώπινον λογισμὸν λαλήσωμεν ἄδικὸς ἐστιν ὁ θεὸς μὴ γένοιτό πως οὖν ὀργὴν ἐπάγει ἡ δῆλον ὅτι οὖ ἡμεῖς αὐτῶν τῆς ἀληθείας καὶ τῆς δικαιοσύνης αἴτιοι ἂλλ αὐτος ἑαυτῶι 
163	16r	Rom.3.6	ξγ  	μὴ γένοιτο ἐπεί πως κρίνει ὁ θεὸς τὸν κόσμον 	εἰ ἦν φησιν ἄδικος οὐκ ἂν ἔκρινε τὸν κόσμον αὐτο γὰρ τὸ κρίνειν δηλοῖ ὅτι δίκαιὸς ἐστι φύσις γὰρ αυτὴ τοῦ κρίνειν τὸ τὸν δίκαιον κρίνειν τοὺς ἀδίκους 
164	16r	Rom.3.7	ξδ  	εἰ γὰρ ἡ ἀλήθεια τοῦ θεοῦ ἐν τῶι ἐμῶι ψεύσματι ἐπερίσσευσεν 	τὸ αὐτο πάλιν λέγει εἰ γὰρ διὰ τοῦτό φησιν ἐπερίσσευσεν ἡ ἀλήθεια καὶ ἡ δικαιοσύνην καὶ ἡ νίκη τοῦ θεοῦ ἐπειδὴ ἐγὼ ἠδίκησα καὶ ἐψευσάμην αὐτον ἀλόγως κρίνομαι ἔδει γάρ με καὶ ἀμοιβῶν ἀξιωθῆναι ὡς αἴτιον αὐτω τῆς νίκης καὶ ἀληθείας ἀλλά νυν οὐκ ἐγὼ αἴτιος τοιγαροῦν καὶ κρίνομαι 
165	16r	Rom.3.7	ξε  	εἰς τὴν δόξαν αὐτοῦ τι ἔτι κἀγὼ ὡς ἁμαρτωλὸς κρίνομαι 	ἵνα δοξάζηται επινικη καὶ δικαιοσύνηι καὶ ἀληθείαι 
166	16r	Rom.3.8	ξϛ  	καὶ μὴ καθὼς βλασφημούμεθα καὶ καθὼς φασί τινες ἡμᾶς λέγειν ὅτι ποιήσωμεν τὰ κακὰ ἵνα ἔλθῃ τὰ ἀγαθά 	τι κρινόμεθα φησι ὡς ἁμαρτωλοὶ οἱ αἴτιοι νίκης θεῶι γενόμενοι καὶ μὴ γίνεται καθώς τινες ἡμᾶς νομίζουσι λέγειν τοιγαροῦν καὶ κωμωδουσιν ὅτι ποιήσωμεν τὸ κακὸν ἵνα ἐκ τούτου νικήσας ὁ θεὸς ἀμείψεται ἡμᾶς εὐεργεσίαις ὡς αἰτίους νίκης αὐτω γενομέμους ἐξ ὧν κακῶς ἐπράξαμεν 
166ex	16r	Rom.3.8	 s 	βλασφημούμεθα καὶ καθὼς φασί τινες ἡμᾶς λέγειν ὅτι ποιήσωμεν τὰ κακὰ ἵνα ἔλθῃ τὰ ἀγαθά 	σὺν πολλῆι καὶ τοῦτο τέθεικεν ἀκριβείᾳ καὶ μὴ γένηται ἐκεῖνο φησιν ὅπερ λέγειν νομιζόμεθα ὅτι ἐκ τῆς ἀδικίας ἡμῶν εὐεργετεῖ ἡμᾶς ὁ θεὸς ὡς αἰτίους αὐτω νίκης μὴ γένηται ἐκεῖνο ποῖον τὸ ἐλθεῖν τὰ ἀγαθὰ καὶ τὸ εὐεργετεῖσθαι παρὰ θεῶι ὡς αἰτίους αὐτῶι νίκης νυν γάρ φησι τὸ ἐναντίον καὶ τιμωρούμεθα 
167	16r	Rom.3.8	ξζ  	ὧν τὸ κρίμα ἔνδικὸν ἐστι 	ἤκουσαν Ἕλληνες τῶν Χριστιανῶν λεγόντων ὅπου ἐπλεόνασεν ἡ ἁμαρτία ὑπερεπερίσσευσεν ἡ χάρις καὶ αὐτοὶ μὲν ταῦτα ἔλεγον ὅτι πλεονάσας ὁ κόσμος ἁμαρτημάτων αὐτον τὸν υἱον τοῦ θεοῦ ἐπεπάσατο εἰς σωτηρίαν καὶ ἐκ τούτου ἐπλεόνασεν εἰς ἡμᾶς ἡ χάρις αὐτοὶ δὲ διασύροντες τὸ εἰρημένον ἔφασκον τοὺς Χριστιανοὺς λέγειν δεῖν ἁμαρτάνειν ἵνα πλεονάσῃ ἡ χάρις ὧν φησι δηλονότι τῶν οὕτως βλασφημούντων ἡμᾶς τὸ κρίμα ἔνδικὸν ἐστιν ὅτι τὰ καλῶς εἰρημένα κακῶς μεθερμηνεύοντες διασύρουσιν 
168	16v	Rom.3.9	ξη  	τι οὖν προεχομεθὰ οὐ πάντως 	διὰ τοῦ νόμου φησι καὶ τῆς περιτομῆς οὐδὲν προκατέχομεν πλέον ὧν ἔχομεν 
168ex	16v	Rom.3.9	Σευηριαν(ου)  s 	τι οὖν προεχομεθὰ οὐ πάντως 	τι οὖν κατέχομεν περισσὸν προηιτιασάμεθα γὰρ Ἰουδαίους τε καὶ Ἕλληνας καὶ τὰ ἑξῆς ἐλλειπῶς εἴρηται τῶι γάρ τι οὖν κατέχομεν περισσὸν ἀκολουθον ἦν ἐπαγαγεῖν τὴν ἐκ πίστεως δικαιοσύνην ὅπερ ἐν τοῖς ἑξῆς προϊὼν λέγει δικαιοσύνην θεοῦ διὰ πίστεως Ἰησοῦ Χριστοῦ τι οὖν κατέχομεν φησι περισσὸν ἡμεῖς τὴν ἐκ πίστεως δικαιοσύνην προητιασαμεθα γὰρ Ἰουδαίους τε καὶ Ἕλληνας πως δὲ προητιασατο ἐν τῶι Ἕλληνας μὲν ἀπελέγξαι διαφθείραντας τὴν φυσικὴν γνῶσιν ἐν οἷς ἔφη ὁ θεὸς γὰρ αὐτοῖς ἐφανέρωσεν καὶ ὅτι γνόντες τὸν θεὸν οὐχ ὡς θεὸν ἐδοξασαν ἡ εὐχαρίστησαν Ἰουδαίους δὲ παραβεβηκότας τὸν νόμον δι' ὧν φησιν ὃς ἐν νόμωι καυχᾶσαι καὶ δείξας ὅτι παρ' οἷς μὲν ἡ φύσις ἠσθένησεν παρ' οἷς δὲ καὶ ἡ φύσις καὶ ὁ νόμος ἀκολούθως τὴν τκ τοῦ Εὐαγγελίου χάριν εἰσάγει καί φησι τι καὶ ἔχομεν ἡμεῖς ἐκ τῆς χάριτος περισσὸν καὶ ἐξαίρετον τὴν πίστιν τὴν διὰ Ἰησοῦ Χριστοῦ δικαιοσύνης οὖσαν ἀπεργαστικήν 
168Pha	16v	Rom.3.9	Φωτ(ιου)  s 	τι οὖν προεχομεθὰ οὐ πάντως 	Τὶ οὖν προεχομεθὰ οὐ πάντως τὶ οὖν ἔχομεν φησὶν ἡμεῖς οἱ Ἰουδαῖοι πλέον τὶ οὐδὲν τὶ δήποτε ὅτι πάντες ὑφ' ἁμαρτίαν ἐσμὲν Ἰουδαῖοι καὶ Ἕλληνες διὰ τοῦ νόμου φησὶ καὶ τῆς περιτομῆς οὐδὲν προκατέχομεν πλέον ὧν ἔχομεν Τὸ χωρίον τοῦτο διττῶς δύναται ἀναγνωσθῆναι καὶ δύο καὶ τὰς ἐννοίας ἔχειν μίαν μὲν ὡς ἀπὸ τῶν Ἰουδαίων προτεινόμενον ἑτέραν δὲ ὡς ἀπὸ τῶν ἐν ἀκροβυστίᾳ πιστῶν προβαλλομενον εἰ μὲν οὖν ἀναγνῶμεν τὶ οὖν προεχομεθὰ ἅμα συνείροντες τῷ ἐρωτηματικῷ μορίῳ τὸ προεχομεθὰ ὡς ἀπὸ τῶν Ἰουδαίων δηλοῦται προτεινόμενον καὶ ἔννοιαν ἔχοι ἂν τοιαύτην τὶ οὖν φησὶν προέχομεν καὶ τὶ ἐκερδήσαμεν προκριθέντες τῶν ἀκροβύστων πρὸς οὓς τὸ οὐ πάντως ἀποκρισις ἀποδίδοται τοῦτ' ἔστιν οὐκ ἐκ παντὸς τρόπο κέρδος ὑμῖν τοῦτο μὴ φυλάξασι γὰρ τὰ ἐμπιστευθέντα οὐδεμία διαφορὰ οὐδὲ κέρδος ἀλλὰ καὶ ἡ τιμωρία μείζων οὕτῳ μὲν εἰ ἐν συνεπείᾳ τὸ τὶ οὖν μετὰ τοῦ προεχομεθά τις ἀναγνῷ εἰ δὲ κατὰ διαστολὴν ἄμφω ποιῶν ἐρωτηματικὰ καὶ τὸ τὶ οὖν καὶ τὸ προεχομεθὰ ὡς ἀπὸ τῶν ἀκροβύστων πιστῶν εἴη ἂν διαπορούμενον ἐπειδὴ γὰρ προεῖπεν ὅτι πολὺ τὸ περισσὸν τοῦ Ἰουδαίου ἐπάγει ὁ ἀκροβυστος διαπορῶν καὶ λέγων τὶ οὖν προεκρίθησαν ἐκεῖνοι προέλαβον ἡμεῖς προελήφθημεν προεχομεθὰ ποῦ ἡ τοῦ θεοῦ δικαιοσύνη πρὸς οὓς ὁ θεῖος Παῦλος φησιν μὴ γένοιτο οὐ πάντως γὰρ φησὶ τοῦτ' ἔστι μὴ κατορθώσαντες μὲν ὑπαίτιοὶ εἰσιν ὥσπερ καὶ ὑμεῖς μὴ κατορθώσαντες κατορθωσάντων δὲ {τερων /ἑκατέρων }* ἴση ἡ σωτηρία ὥστε οὐ προέχεσθε 
